District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Massachusetts 8,Stephen F. Lynch,Democratic,Massachusetts Senate Massachusetts House of Representatives,Wentworth Institute of Technology (BS) Boston College (JD) Harvard University (MPA),2001 (special),Boston,(age 68)
Massachusetts 9,Bill Keating,Democratic,Massachusetts House of Representatives Massachusetts Senate Norfolk County District Attorney,"Boston College (BA, MBA) Suffolk University (JD)",2011,Bourne,(age 71)
Michigan 1,Jack Bergman,Republican,U.S. Marine Corps,Gustavus Adolphus College (BA) University of West Florida (MBA),2017,Watersmeet,(age 76)
Michigan 2,John Moolenaar,Republican,Michigan Senate Michigan House of Representatives,Hope College (BS) Harvard University (MPA),2015,Caledonia,(age 62)
Michigan 3,Hillary Scholten,Democratic,Board of Immigration Appeals Judicial Law Clerk/Attorney Adviser U.S. Court of Appeals Immigration Staff Attorney,"Gordon College (BA) University of Maryland, Baltimore (JD)",2023,Grand Rapids,(age 41)
Michigan 4,Bill Huizenga,Republican,Michigan House of Representatives,Calvin College (BA),2011,Holland[35],(age 54)
Michigan 5,Tim Walberg,Republican,U.S. House Michigan House of Representatives,"Western Illinois University Moody Bible Institute Taylor University (BA) Wheaton College, Illinois (MA)",2011,Tipton,(age 72)
Michigan 6,Debbie Dingell,Democratic,President of the General Motors Foundation Wayne State University Board of Governors Lobbyist,"Georgetown University (BS, MS)",2015,Ann Arbor,(age 69)
Michigan 7,Elissa Slotkin,Democratic,Assistant Secretary of Defense for International Security Affairs,Cornell University (BA) Columbia University (MA),2019,Lansing,(age 47)
Michigan 8,Dan Kildee,Democratic,Genesee County Treasurer,University of Michigan–Flint Central Michigan University (BS),2013,Flint Township,(age 65)
Michigan 9,Lisa McClain,Republican,Businesswoman,Lansing Community College Northwood University (BA),2021,Bruce,(age 57)
Michigan 10,John James,Republican,U.S. Army,United States Military Academy (BS) University of Michigan (MBA)  Pennsylvania State University (MS),2023,Farmington Hills,(age 42)
Michigan 11,Haley Stevens,Democratic,Presidential Task Force on the Auto Industry,"American University (BA, MA)",2019,Birmingham,(age 40)
Michigan 12,Rashida Tlaib,Democratic,Michigan House of Representatives,Wayne State University (BA) Thomas M. Cooley Law School (JD),2019,Detroit,(age 47)
Michigan 13,Shri Thanedar,Democratic,Michigan House of Representatives,"University of Mumbai (BS, MS) University of Akron (PhD)",2023,Detroit,(age 68)
Minnesota 1,Brad Finstad,Republican,Director of USDA Rural Development for Minnesota Minnesota House of Representatives,University of Minnesota (BS),2022 (special),New Ulm,(age 47)
Minnesota 2,Angie Craig,Democratic,Medical technology executive Reporter,University of Memphis (BA),2019,Prior Lake,(age 51)
Minnesota 3,Dean Phillips,Democratic,Businessman,Brown University (BA) University of Minnesota (MBA),2019,Plymouth,(age 54)
Minnesota 4,Betty McCollum,Democratic,North St. Paul City Council Minnesota House of Representatives,St. Catherine University (BA),2001,Saint Paul,(age 69)
Minnesota 5,Ilhan Omar,Democratic,Minnesota House of Representatives,North Dakota State University (BA),2019,Minneapolis,(age 41)
Minnesota 6,Tom Emmer,Republican,Minnesota House of Representatives,Boston College University of Alaska Fairbanks (BA) William Mitchell College of Law (JD),2015,Delano,(age 62)
Minnesota 7,Michelle Fischbach,Republican,Lieutenant Governor of Minnesota President of the Minnesota Senate Minnesota Senate,St. Cloud State University (BA) William Mitchell College of Law (JD),2021,Regal[36],(age 57)
Minnesota 8,Pete Stauber,Republican,St. Louis County Commission Police lieutenant Professional hockey player,Lake Superior State University (BA),2019,Hermantown,(age 57)
Mississippi 1,Trent Kelly,Republican,"District attorney, Tupelo City prosecutor Army National Guard Colonel","East Central Community College University of Mississippi (BA, JD) United States Army War College (MA)",2015 (special),Saltillo,(age 57)
Mississippi 2,Bennie Thompson,Democratic,Alderman and Mayor of Bolton Hinds County Board of Supervisors,Tougaloo College (BA) Jackson State University (MS),1993 (special),Bolton,(age 75)
Mississippi 3,Michael Guest,Republican,District Attorney for Madison and Rankin Counties,Mississippi State University (BS) University of Mississippi (JD),2019,Brandon,(age 53)
Mississippi 4,Mike Ezell,Republican,Sheriff of Jackson County,University of Southern Mississippi (BA),2023,Pascagoula,(age 64)
Missouri 1,Cori Bush,Democratic,Registered nurse Pastor Activist,Lutheran School of Nursing (GrDip),2021,St. Louis,(age 47)
Missouri 2,Ann Wagner,Republican,U.S. Ambassador to Luxembourg,University of Missouri (BS),2013,Ballwin,(age 61)
Missouri 3,Blaine Luetkemeyer,Republican,Missouri House of Representatives State Tourism Director,"Lincoln University, Missouri (BA)",2009,St. Elizabeth,(age 71)
Missouri 4,Mark Alford,Republican,Journalist,University of Texas at Austin (BA),2023,Lake Winnebago,(age 60)
Missouri 5,Emanuel Cleaver,Democratic,Mayor of Kansas City Pastor Radio show host,Prairie View A&M University (BS) Saint Paul School of Theology (MDiv),2005,Kansas City,(age 79)
Missouri 6,Sam Graves,Republican,Missouri Senate,University of Missouri (BS),2001,Tarkio,(age 59)
Missouri 7,Eric Burlison,Republican,Missouri Senate Missouri House of Representatives,"Missouri State University (BA, MBA)",2023,Ozark,(age 47)
Missouri 8,Jason Smith,Republican,Missouri House of Representatives,University of Missouri (BS) Oklahoma City University (JD),2013 (special),Salem,(age 43)
Montana 1,Ryan Zinke,Republican,United States Secretary of the Interior U.S. House Montana Senate U.S. Navy,University of Oregon (BS) National University (MBA) University of San Diego (MS),2023,Whitefish,(age 61)
Montana 2,Matt Rosendale,Republican,Montana State Auditor Montana Senate Montana House of Representatives,–,2021,Glendive,(age 63)
Nebraska 1,Mike Flood,Republican,Speaker of the Nebraska Legislature,University of Notre Dame (BA) University of Nebraska–Lincoln (JD),2022 (special),Norfolk[37],(age 48)
Nebraska 2,Don Bacon,Republican,U.S. Air Force,Northern Illinois University (BA) University of Phoenix (MBA) National Defense University (MA),2017,Papillion,(age 60)
Nebraska 3,Adrian Smith,Republican,Nebraska Legislature Gering City Council,Liberty University University of Nebraska–Lincoln (BA),2007,Gering,(age 52)
Nevada 1,Dina Titus,Democratic,U.S. House Nevada Senate,College of William & Mary (BA) University of Georgia (MA) Florida State University (PhD),2013,Las Vegas,(age 73)
Nevada 2,Mark Amodei,Republican,Nevada Senate Nevada Assembly,"University of Nevada, Reno (BA) University of the Pacific (JD)",2011 (special),Carson City,(age 65)
Nevada 3,Susie Lee,Democratic,Education advocate,"Carnegie Mellon University (BA, MS)",2019,Las Vegas,(age 56)
Nevada 4,Steven Horsford,Democratic,U.S. House Nevada Senate,"University of Nevada, Reno (BA)",2019,Las Vegas,(age 50)
New Hampshire 1,Chris Pappas,Democratic,New Hampshire Executive Council Treasurer of Hillsborough County New Hampshire House of Representatives,Harvard University (BA),2019,Manchester,(age 43)
New Hampshire 2,Annie Kuster,Democratic,Attorney Lobbyist,Dartmouth College (BA) Georgetown University (JD),2013,Hopkinton,(age 67)
New Jersey 1,Donald Norcross,Democratic,New Jersey Senate New Jersey General Assembly,Camden County College Rutgers University-Camden,2014 (special),Camden,(age 64)
New Jersey 2,Jeff Van Drew,Republican,New Jersey Senate New Jersey General Assembly,Rutgers University–New Brunswick (BS) Fairleigh Dickinson University (DMD),2019,Dennis Township,(age 70)
New Jersey 3,Andy Kim,Democratic,National security adviser,"Deep Springs College University of Chicago (BA) Magdalen College, Oxford (MPhil, DPhil)",2019,Moorestown,(age 41)
New Jersey 4,Chris Smith,Republican,Retail executive,The College of New Jersey (BS),1981,Manchester Township,(age 70)
New Jersey 5,Josh Gottheimer,Democratic,Attorney Political aide,"University of Pennsylvania (BA) Pembroke College, Oxford Harvard University (JD)",2017,Wyckoff,(age 48)
New Jersey 6,Frank Pallone,Democratic,New Jersey Senate Long Branch City Council,Middlebury College (BA) Tufts University (MA) Rutgers University–Camden (JD),1988 (special),Long Branch[38],(age 72)
New Jersey 7,Thomas Kean Jr.,Republican,Minority Leader of the New Jersey Senate New Jersey General Assembly U.S. Environmental Protection Agency special assistant Congressional aide,Dartmouth College (BA) Tufts University (MA),2023,Westfield,(age 55)
New Jersey 8,Rob Menendez,Democratic,Commissioner of the Port Authority of New York and New Jersey,University of North Carolina at Chapel Hill (BA) Rutgers University–Newark (JD),2023,Jersey City,(age 38)
New Jersey 9,Bill Pascrell,Democratic,New Jersey General Assembly Mayor of Paterson,"Fordham University (BA, MA)",1997,Paterson,(age 86)
New Jersey 10,Donald Payne Jr.,Democratic,Newark Municipal Council Essex County Freeholder,Kean University,2012 (special),Newark,(age 64)
New Jersey 11,Mikie Sherrill,Democratic,Assistant United States Attorney for the District of New Jersey U.S. Navy,United States Naval Academy (BS) London School of Economics (MSc) Georgetown University (JD),2019,Montclair,(age 51)
New Jersey 12,Bonnie Watson Coleman,Democratic,New Jersey General Assembly,Rutgers University-Camden Thomas Edison State University (BA),2015,Ewing Township,(age 78)
New Mexico 1,Melanie Stansbury,Democratic,New Mexico House of Representatives,Saint Mary's College of California (BA) Cornell University (MS),2021 (special),Albuquerque,(age 44)
New Mexico 2,Gabe Vasquez,Democratic,Las Cruces City Council,New Mexico State University (BA),2023,Las Cruces,(age 39)
New Mexico 3,Teresa Leger Fernandez,Democratic,Attorney,Yale University (BA) Stanford University (JD),2021,Santa Fe,(age 64)
New York 1,Nick LaLota,Republican,Suffolk County Board of Elections Chief of Staff to the Suffolk County Presiding Officer Amityville Board of Trustees New York Senate staffer U.S. House staffer U.S. Navy,"United States Naval Academy (BS) Hofstra University (JD, MBA)",2023,Amityville,(age 45)
New York 2,Andrew Garbarino,Republican,New York State Assembly,George Washington University (BA) Hofstra University (JD),2021,Bayport,(age 39)
New York 3,George Santos,Republican,Customer service representative,-,2023,Queens,(age 35)
New York 4,Anthony D'Esposito,Republican,Hempstead Town Council,Hofstra University (BA),2023,Island Park,(age 41)
New York 5,Gregory Meeks,Democratic,New York State Assembly,Adelphi University (BA) Howard University (JD),1998 (special),Queens[39],(age 70)
New York 6,Grace Meng,Democratic,New York State Assembly,University of Michigan (BA) Yeshiva University (JD),2013,Queens,(age 48)
New York 7,Nydia Velázquez,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA) New York University (MA)",1993,Brooklyn,(age 70)
New York 8,Hakeem Jeffries,Democratic,New York State Assembly,Binghamton University (BA) Georgetown University (MPP) New York University (JD),2013,Brooklyn,(age 53)
New York 9,Yvette Clarke,Democratic,New York City Council,Oberlin College Medgar Evers College,2007,Brooklyn,(age 58)
New York 10,Dan Goldman,Democratic,Senior Adviser and Director of Investigations for the House Permanent Select Intelligence Committee Assistant U.S. Attorney Judicial Clerk for the U.S. Court of Appeals for the Second Circuit Judicial Clerk for the U.S. District Court of the Northern District of California,Yale University (BA) Stanford University (JD),2023,New York,(age 47)
New York 11,Nicole Malliotakis,Republican,New York State Assembly,Seton Hall University (BA) Wagner College (MBA),2021,Staten Island,(age 42)
New York 12,Jerry Nadler,Democratic,New York State Assembly,Columbia University (BA) Fordham University (JD),1992 (special),New York,(age 76)
New York 13,Adriano Espaillat,Democratic,New York State Senate New York State Assembly,"Queens College, City University of New York (BA)",2017,New York,(age 69)
New York 14,Alexandria Ocasio-Cortez,Democratic,Bartender,Boston University (BA),2019,Queens[40],(age 34)
New York 15,Ritchie Torres,Democratic,New York City Council,New York University,2021,The Bronx,(age 35)
New York 16,Jamaal Bowman,Democratic,Middle school principal,University of New Haven (BA) Mercy College (MA) Manhattanville College (EdD),2021,Yonkers,(age 47)
New York 17,Mike Lawler,Republican,New York State Assembly,Manhattan College (BS),2023,Pearl River,(age 37)
New York 18,Pat Ryan,Democratic,Ulster County Executive,United States Military Academy (BS) Georgetown University (MA),2022 (special),Gardiner,(age 41)
New York 19,Marc Molinaro,Republican,Dutchess County executive New York State Assembly Dutchess County Legislature Mayor of Tivoli Tivoli Board of Trustees,Dutchess Community College (AS) Pace University,2023,Red Hook,(age 48)
New York 20,Paul Tonko,Democratic,New York State Assembly,Clarkson University (BS),2009,Amsterdam,(age 74)
New York 21,Elise Stefanik,Republican,Civil servant Political activist,Harvard University (BA),2015,Schuylerville,(age 39)
New York 22,Brandon Williams,Republican,Businessman U.S. Navy,Pepperdine University (BA) University of Pennsylvania (JD),2023,Sennett,(age 56)
New York 23,Nick Langworthy,Republican,Chair of the New York Republican State Committee Chair of the Erie County Republican Committee,Niagara University (BA),2023,Pendleton,(age 42)
New York 24,Claudia Tenney,Republican,U.S. House New York State Assembly,Colgate University (BA) University of Cincinnati (JD),2021,Canandaigua,(age 62)
New York 25,Joseph Morelle,Democratic,New York State Assembly,State University of New York at Geneseo (BA),2018 (special),Irondequoit,(age 66)
New York 26,Brian Higgins,Democratic,Buffalo Common Council New York State Assembly,"Buffalo State College (BA, MA) Harvard University (MPA)",2005,Buffalo,(age 64)
North Carolina 1,Don Davis,Democratic,North Carolina Senate Mayor of Snow Hill U.S. Air Force,"United States Air Force Academy (BS) Central Michigan University (MS) East Carolina University (MA, EdD)",2023,Snow Hill,(age 52)
North Carolina 2,Deborah Ross,Democratic,North Carolina House of Representatives,Brown University (AB) University of North Carolina at Chapel Hill (JD),2021,Raleigh,(age 60)
North Carolina 3,Greg Murphy,Republican,North Carolina House of Representatives,Davidson College (BA) University of North Carolina at Chapel Hill (MD),2019 (special),Greenville,(age 60)
North Carolina 4,Valerie Foushee,Democratic,North Carolina Senate North Carolina House of Representatives Orange County Board of Commissioners,University of North Carolina at Chapel Hill (BA),2023,Hillsborough,(age 67)
North Carolina 5,Virginia Foxx,Republican,North Carolina Senate,"University of North Carolina at Chapel Hill (BA) University of North Carolina at Greensboro (MA, EdD)",2005,Banner Elk,(age 80)
North Carolina 6,Kathy Manning,Democratic,Attorney,Harvard University (AB) University of Michigan (JD),2021,Greensboro,(age 66)
North Carolina 7,David Rouzer,Republican,North Carolina Senate,North Carolina State University (BS),2015,Wilmington[41],(age 51)
North Carolina 8,Dan Bishop,Republican,North Carolina Senate North Carolina House of Representatives  Mecklenburg County Commission,"University of North Carolina at Chapel Hill (BS, JD)",2019 (special),Charlotte,(age 59)
North Carolina 9,Richard Hudson,Republican,Businessman,University of North Carolina at Charlotte (BA),2013,Southern Pines,(age 51)
North Carolina 10,Patrick McHenry,Republican,North Carolina House of Representatives,North Carolina State University Belmont Abbey College (BA),2005,Lake Norman of Catawba[42],(age 48)
North Carolina 11,Chuck Edwards,Republican,North Carolina House of Representatives,Blue Ridge Community College,2023,Flat Rock,(age 63)
North Carolina 12,Alma Adams,Democratic,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS) Ohio State University (PhD)",2014 (special),Charlotte,(age 77)
North Carolina 13,Wiley Nickel,Democratic,North Carolina Senate White House national advance staff,Tulane University (BA) Pepperdine University (JD),2023,Cary,(age 47)
North Carolina 14,Jeff Jackson,Democratic,North Carolina Senate Gaston County prosecutor North Carolina Army National Guard U.S. Army Reserve,Emory University (BA) University of North Carolina at Chapel Hill (JD),2023,Charlotte,(age 41)
North Dakota at-large,Kelly Armstrong,Republican,North Dakota Senate Chair of the North Dakota Republican Party,"University of North Dakota (BA, JD)",2019,Bismarck,(age 47)
Ohio 1,Greg Landsman,Democratic,Cincinnati City Council Director of the Ohio Governor's Office of Faith-Based and Community Initiatives,Ohio University (BA) Harvard University (MA),2023,Cincinnati,(age 46)
Ohio 2,Brad Wenstrup,Republican,Physician,"University of Cincinnati (BA) Rosalind Franklin University (BS, DPM)",2013,Hillsboro,(age 65)
Ohio 3,Joyce Beatty,Democratic,Ohio House of Representatives,Central State University (BA) Wright State University (MS) University of Cincinnati,2013,Columbus,(age 73)
Ohio 4,Jim Jordan,Republican,Ohio Senate Ohio House of Representatives,University of Wisconsin–Madison (BS) Ohio State University (MA) Capital University (JD),2007,Urbana[43],(age 59)
Ohio 5,Bob Latta,Republican,Wood County Commissioner Ohio House of Representatives Ohio Senate,Bowling Green State University (BA) University of Toledo (JD),2007,Bowling Green,(age 67)
Ohio 6,Bill Johnson,Republican,United States Air Force,Troy University (BS) Georgia Institute of Technology (MS),2011,Marietta,(age 68)
Ohio 7,Max Miller,Republican,Special assistant to the President Associate Director of the Presidential Personnel Office White House Office lead advance representative U.S. Department of the Treasury confidential assistant,Cleveland State University (BA),2023,Rocky River,(age 34)
Ohio 8,Warren Davidson,Republican,Businessman,United States Military Academy (BS) University of Notre Dame (MBA),2016 (special),Troy,(age 53)
Ohio 9,Marcy Kaptur,Democratic,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin–Madison (BA) University of Michigan (MUP) Massachusetts Institute of Technology,1983,Toledo,(age 77)
Ohio 10,Mike Turner,Republican,Mayor of Dayton,Ohio Northern University (BA) Case Western Reserve University (JD) University of Dayton (MBA),2003,Dayton,(age 63)
Ohio 11,Shontel Brown,Democratic,Cuyahoga County Council,Cuyahoga Community College (AS) Wilberforce University (BS),2021 (special),Warrensville Heights,(age 48)
Ohio 12,Troy Balderson,Republican,Ohio Senate,Muskingum University Ohio State University,2018 (special),Zanesville,(age 61)
Ohio 13,Emilia Sykes,Democratic,Minority Leader of the Ohio House of Representatives,"Kent State University (BA) University of Florida (JD, MPH)",2023,Akron,(age 37)
Ohio 14,David Joyce,Republican,Geauga County Prosecutor,"University of Dayton (BS, JD)",2013,South Russell,(age 66)
Ohio 15,Mike Carey,Republican,Lobbyist,Marion Military Institute (AA) Ohio State University (BA),2021 (special),Columbus,(age 52)
Oklahoma 1,Kevin Hern,Republican,Businessman,"Arkansas Tech University (BS) Georgia Institute of Technology University of Arkansas, Little Rock (MBA)",2018 (special),Tulsa,(age 61)
Oklahoma 2,Josh Brecheen,Republican,Oklahoma Senate U.S. Senate staffer,"Oklahoma State University, Stillwater Southeastern Oklahoma State University (BS)",2023,Coalgate,(age 44)
Oklahoma 3,Frank Lucas,Republican,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994 (special),Cheyenne[44],(age 63)
Oklahoma 4,Tom Cole,Republican,Oklahoma Senate Oklahoma Secretary of State College professor,Grinnell College (BA) Yale University (MA) University of Oklahoma (PhD),2003,Moore,(age 74)
Oklahoma 5,Stephanie Bice,Republican,Oklahoma Senate,"Oklahoma State University, Stillwater (BS)",2021,Oklahoma City[45],(age 49)
Oregon 1,Suzanne Bonamici,Democratic,Oregon House of Representatives Oregon State Senate,"Lane Community College University of Oregon (BA, JD)",2012 (special),Beaverton,(age 69)
Oregon 2,Cliff Bentz,Republican,Oregon State Senate,Eastern Oregon University (BA) Lewis and Clark College (JD),2021,Ontario,(age 71)
Oregon 3,Earl Blumenauer,Democratic,Oregon House of Representatives Multnomah County Commissioner Portland City Commissioner,"Lewis & Clark College (BA, JD)",1996 (special),Portland,(age 75)
Oregon 4,Val Hoyle,Democratic,Oregon Commissioner of Labor and Industries Majority Leader of the Oregon House of Representatives,Emmanuel College (BA),2023,Springfield,(age 59)
Oregon 5,Lori Chavez-DeRemer,Republican,Mayor of Happy Valley Happy Valley City Council,"California State University, Fresno (BS)",2023,Happy Valley,(age 55)
Oregon 6,Andrea Salinas,Democratic,Oregon House of Representatives U.S. House legislative aide U.S. Senate legislative aide,"University of California, Berkeley (BA)",2023,Tigard,(age 53)
Pennsylvania 1,Brian Fitzpatrick,Republican,FBI agent Special Assistant U.S. Attorney,"La Salle University (BS) Pennsylvania State University (MBA) Pennsylvania State University, Carlisle (JD)",2017,Levittown,(age 49)
Pennsylvania 2,Brendan Boyle,Democratic,Pennsylvania House of Representatives,University of Notre Dame (BA) Harvard University (MPP),2015,Philadelphia,(age 46)
Pennsylvania 3,Dwight Evans,Democratic,Pennsylvania House of Representatives,Community College of Philadelphia (AA) La Salle University (BA),2016 (special),Philadelphia,(age 69)
Pennsylvania 4,Madeleine Dean,Democratic,Pennsylvania House of Representatives,La Salle University (BA) Widener University (JD),2019,Bala Cynwyd,(age 64)
Pennsylvania 5,Mary Gay Scanlon,Democratic,Attorney,Colgate University (BA) University of Pennsylvania (JD),2018 (special),Swarthmore,(age 64)
Pennsylvania 6,Chrissy Houlahan,Democratic,Entrepreneur U.S. Air Force,Stanford University (BS) Massachusetts Institute of Technology (MS),2019,Devon,(age 56)
Pennsylvania 7,Susan Wild,Democratic,Solicitor of Allentown,American University (BA) George Washington University (JD),2018 (special),Allentown[46],(age 66)
Pennsylvania 8,Matt Cartwright,Democratic,Attorney,Hamilton College (BA) University of Pennsylvania (JD),2013,Moosic,(age 62)
Pennsylvania 9,Dan Meuser,Republican,Secretary of Revenue of Pennsylvania,State University of New York Maritime College Cornell University (BA),2019,Dallas,(age 59)
Pennsylvania 10,Scott Perry,Republican,Pennsylvania House of Representatives Businessman U.S. Army,Pennsylvania State University (BS) United States Army War College (MS),2013,Dillsburg[47],(age 61)
Pennsylvania 11,Lloyd Smucker,Republican,Pennsylvania Senate,Lebanon Valley College Franklin and Marshall College,2017,Lancaster[48],(age 59)
Pennsylvania 12,Summer Lee,Democratic,Pennsylvania House of Representatives,Pennsylvania State University (BA) Howard University (JD),2023,Swissvale,(age 35)
Pennsylvania 13,John Joyce,Republican,Dermatologist,"Pennsylvania State University, Altoona Pennsylvania State University, University Park (BS) Temple University (MD)",2019,Hollidaysburg[49],(age 66)
Pennsylvania 14,Guy Reschenthaler,Republican,Pennsylvania Senate Judge U.S. Navy,"Pennsylvania State University, Behrend (BA) Duquesne University (JD)",2019,Peters Township[50],(age 40)
Pennsylvania 15,Glenn Thompson,Republican,Chair of the Centre County Republican Committee,Pennsylvania State University (BS) Temple University (MEd),2009,Howard[51],(age 64)
Pennsylvania 16,Mike Kelly,Republican,Butler City Council,University of Notre Dame (BA),2011,Butler,(age 75)
Pennsylvania 17,Chris Deluzio,Democratic,University policy director Lawyer U.S. Navy officer,United States Naval Academy (BS) Georgetown University (JD),2023,Aspinwall,(age 39)
Rhode Island 1,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant
Rhode Island 2,Seth Magaziner,Democratic,General Treasurer of Rhode Island,Brown University (BA) Yale University (MBA),2023,Cranston,(age 40)
South Carolina 1,Nancy Mace,Republican,South Carolina House of Representatives,The Citadel (BS) University of Georgia (MS),2021,Charleston,(age 45)
South Carolina 2,Joe Wilson,Republican,South Carolina Senate,Washington and Lee University (BA) University of South Carolina (JD),2001 (special),Springdale[52],(age 76)
South Carolina 3,Jeff Duncan,Republican,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,(age 57)
South Carolina 4,William Timmons,Republican,Attorney Entrepreneur,"George Washington University (BA) University of South Carolina (MA, JD)",2019,Greenville,(age 39)
South Carolina 5,Ralph Norman,Republican,South Carolina House of Representatives Real estate developer,Presbyterian College (BS),2017 (special),Rock Hill,(age 70)
South Carolina 6,Jim Clyburn,Democratic,Political aide Teacher,South Carolina State University (BA),1993,Columbia,(age 83)
South Carolina 7,Russell Fry,Republican,South Carolina House of Representatives,University of South Carolina (BA) Charleston School of Law (JD),2023,Murrells Inlet,(age 38)
South Dakota at-large,Dusty Johnson,Republican,Chief of Staff to the Governor of South Dakota South Dakota Public Utilities Commission,University of South Dakota (BA) University of Kansas (MPA),2019,Mitchell,(age 47)
Tennessee 1,Diana Harshbarger,Republican,Pharmacist,East Tennessee State University (BS) Mercer University (PharmD),2021,Kingsport,(age 63)
Tennessee 2,Tim Burchett,Republican,Mayor of Knox County Tennessee Senate Tennessee House of Representatives,"University of Tennessee, Knoxville (BS)",2019,Knoxville,(age 59)
Tennessee 3,Chuck Fleischmann,Republican,Attorney,University of Illinois Urbana-Champaign (BA) University of Tennessee (JD),2011,Chattanooga[53],(age 61)
Tennessee 4,Scott DesJarlais,Republican,Physician,"University of South Dakota (BS, MD)",2011,Sherwood[54],(age 59)
Tennessee 5,Andy Ogles,Republican,Mayor of Maury County,Middle Tennessee State University (BS),2023,Columbia,(age 52)
Tennessee 6,John Rose,Republican,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS) Purdue University, West Lafayette (MS) Vanderbilt University (JD)",2019,Cookeville,(age 58)
Tennessee 7,Mark E. Green,Republican,Tennessee Senate,United States Military Academy (BS) University of Southern California (MA) Wright State University (MD),2019,Clarksville,(age 58)
Tennessee 8,David Kustoff,Republican,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Germantown[55],(age 57)
Tennessee 9,Steve Cohen,Democratic,Tennessee Senate Attorney,Vanderbilt University (BA) University of Memphis (JD),2007,Memphis,(age 74)
Texas 1,Nathaniel Moran,Republican,Smith County Judge Tyler City Council,"Texas Tech University (BA, MBA, JD)",2023,Whitehouse,(age 49)
Texas 2,Dan Crenshaw,Republican,U.S. Navy,Tufts University (BA) Harvard University (MPA),2019,Humble,(age 39)
Texas 3,Keith Self,Republican,Collin County Judge U.S. Army,United States Military Academy (BS) University of Southern California (MA),2023,McKinney,(age 70)
Texas 4,Pat Fallon,Republican,Texas Senate Texas House of Representatives United States Air Force second lieutenant,University of Notre Dame (BA),2021,Frisco,(age 55)
Texas 5,Lance Gooden,Republican,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",2019,Terrell[56],(age 40)
Texas 6,Jake Ellzey,Republican,Texas House of Representatives  United States Navy commander,United States Naval Academy (BS),2021 (special),Midlothian,(age 53)
Texas 7,Lizzie Fletcher,Democratic,Attorney,Kenyon College (BA) College of William and Mary (JD),2019,Houston,(age 48)
Texas 8,Morgan Luttrell,Republican,Special advisor to the U.S. Secretary of Energy U.S. Navy,Sam Houston State University (BS) University of Texas at Dallas (MA),2023,Magnolia,(age 47)
Texas 9,Al Green,Democratic,Harris County Justice of the Peace Houston NAACP president,Florida A&M University Tuskegee University (BA) Texas Southern University (JD),2005,Houston,(age 76)
Texas 10,Michael McCaul,Republican,Attorney Federal prosecutor,"Trinity University (BA) St. Mary's University, Texas (JD)",2005,Austin[57],(age 61)
Texas 11,August Pfluger,Republican,U.S. National Security Council United States Air Force Lieutenant colonel,United States Air Force Academy (BS)  Embry–Riddle Aeronautical University (MS) Air University (MS)  Georgetown University (MS),2021,San Angelo,(age 44)
Texas 12,Kay Granger,Republican,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,(age 80)
Texas 13,Ronny Jackson,Republican,Chief Medical Advisor to the President Physician to the President United States Navy Rear admiral,Texas A&M University (BS) University of Texas Medical Branch (MD),2021,Amarillo,(age 56)
Texas 14,Randy Weber,Republican,Texas House of Representatives Pearland City Council,Alvin Community College University of Houston–Clear Lake (BS),2013,Friendswood[58],(age 70)
Texas 15,Monica De La Cruz,Republican,Insurance agent Businesswoman,University of Texas at San Antonio (BBS) National Autonomous University of Mexico,2023,McAllen,(age 48)
Texas 16,Veronica Escobar,Democratic,El Paso County Commission El Paso County Judge,"University of Texas, El Paso (BA) New York University (MA)",2019,El Paso,(age 54)
Texas 17,Pete Sessions,Republican,U.S. House,Southwestern University (BS),2021,Waco,(age 68)
Texas 18,Sheila Jackson Lee,Democratic,Houston City Council Municipal judge,Yale University (BA) University of Virginia (JD),1995,Houston,(age 73)
Texas 19,Jodey Arrington,Republican,Educator Public administrator White House aide,"Texas Tech University (BA, MPA)",2017,Lubbock,(age 51)
Texas 20,Joaquin Castro,Democratic,Texas House of Representatives,Stanford University (BA) Harvard University (JD),2013,San Antonio,(age 49)
Texas 21,Chip Roy,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS) University of Texas, Austin (JD)",2019,Austin,(age 51)
Texas 22,Troy Nehls,Republican,Sheriff of Fort Bend County,Liberty University (BA) University of Houston–Downtown (MA),2021,Richmond,(age 55)
Texas 23,Tony Gonzales,Republican,United States Navy Master Chief Petty Officer,Chaminade University (AA) Excelsior College (BS) American Public University (MA),2021,San Antonio,(age 43)
Texas 24,Beth Van Duyne,Republican,Mayor of Irving,Cornell University (BA),2021,Irving,(age 52)
Texas 25,Roger Williams,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Weatherford,(age 74)
